_model	model.x	model.y	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
hitzig.nobound3-3lex.PPMIselection.LENGTHFOC.SOCPOSlex	1.0495275314683912	0.30869261070558035	FALSE	BOW	560	selection	lex	3-3	FOC	lex	480	8	hitzig.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound3-3lex.PPMIweight.LENGTH1000.SOCPOSlex	1.363139081016005	0.10323209931741392	FALSE	BOW	560	weight	lex	3-3	1000	lex	480	8	hitzig.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound3-3lex.PPMIweight.LENGTH5000.SOCPOSlex	1.3344003618792557	0.09605465497145624	FALSE	BOW	560	weight	lex	3-3	5000	lex	480	8	hitzig.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSlex	1.5364952860551662	0.11567507429968564	FALSE	BOW	560	weight	lex	3-3	FOC	lex	480	4	hitzig.nobound10-10lex.PPMIweight.LENGTHFOC.SOCPOSlex
hitzig.nobound5-5all.PPMIno.LENGTH1000.SOCPOSlex	-1.950836603536879	1.332375745669041	FALSE	BOW	1619	no	all	5-5	1000	lex	494	2	hitzig.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound5-5all.PPMIno.LENGTH5000.SOCPOSlex	-1.730427682732153	1.2436309753755377	FALSE	BOW	1619	no	all	5-5	5000	lex	494	2	hitzig.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound5-5all.PPMIno.LENGTHFOC.SOCPOSlex	-0.6233801058432701	0.6303281323016063	FALSE	BOW	1619	no	all	5-5	FOC	lex	494	2	hitzig.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound5-5all.PPMIselection.LENGTH1000.SOCPOSlex	-1.1678206431110216	1.0041148406703615	FALSE	BOW	1027	selection	all	5-5	1000	lex	494	2	hitzig.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex	-1.0441036794912104	1.038768038390906	FALSE	BOW	1027	selection	all	5-5	5000	lex	494	2	hitzig.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound5-5all.PPMIselection.LENGTHFOC.SOCPOSlex	-0.19168900994023497	0.5775317654035272	FALSE	BOW	1027	selection	all	5-5	FOC	lex	494	2	hitzig.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
