cw	pmi_4	raw_4	freq
Familienmitglied/NN	3.0419178	2	6369
Fan/NN	1.2783176	2	37827
Fatah-Hälfte/NN	11.013845	1	1
Fazit/NN	0.8632093	1	58792
Fehlverhaltensmöglichkeiten/NN	11.013845	1	1
Feile/NN	5.578759	2	516
Feminismus/NN	3.4570904	1	2188
Fenster/NN	0.42757314	1	44211
Ferdinand/NE	2.8734748	2	7960
Fest/NN	0.8223442	1	29887
Feuchte/NN	4.3171196	1	908
Feuer/NN	2.078402	4	34326
Feuergefecht/NN	4.850004	1	527
Feuerhölzern/NN	11.013845	1	1
Feuerlilien/NN	9.692089	1	5
Feuerwerk/NN	2.2743685	1	6978
Feuerwerksrakete/NN	7.0341635	1	59
Feuilleton/NN	3.6874616	2	3399
Fieber--um/NN	11.013845	1	1
Fieber/NN	5.3535676	23	7596
Fiebertraum/NN	6.7182617	1	84
Fights/NN	7.19476	2	106
Film/NN	-1.0611931	1	196044
Filmteam/NN	4.7025642	1	618
Finalsatz/NN	6.645981	1	88
Finanzgebaren/NN	5.8257613	1	193
Finsternau/NN	11.013845	1	1
Fischer/NE	0.63884324	1	39314
Flagge/NN	2.511537	1	5583
Flamenco/NE	4.7308774	1	621
Fleisch/NN	0.73590153	1	32754
Fliegenwedel/NN	8.383757	1	15
Flirt/NN	4.1691628	1	1075
Flohr/NN	6.255954	1	139
Flowtex-Untersuchungsausschuss/NN	10.202915	1	3
Flughafenschaltern/NN	9.429725	1	5
Flüssigkeit/NN	1.7818655	1	11328
Folge/NN	-0.9173631	1	178355
Folgezeit/NN	2.8428814	1	3955
Form/NN	-0.5893067	2	234628
Forum/NN	0.7528826	3	106824
Foul/NN	3.1263547	1	3013
Frage/NN	0.7722306	16	532670
Fraktion/NN	0.76031697	1	30688
Frank/NE	0.65362906	1	39197
Frankreich/NE	0.53795767	2	79594
Franz/NE	1.3395505	2	37613
Franzose/NN	1.4446071	1	15946
Frau/NN	-0.20444064	6	504525
Freiheitssänger/NN	10.454229	1	2
Freund/NE	2.401819	1	6340
Freund/NN	1.0679407	6	141155
Freundschaft/NN	1.2191823	1	20369
Friedhofsbesucher/NN	7.430326	1	39
Friedrich/NE	2.6941886	10	48356
Frieselneber/NN	11.147376	1	1
Fritsch/NE	3.898974	1	1556
Fritzlar/NE	6.139602	1	147
Frustration/NN	3.1295037	1	2955
Frühlingsfest/NN	6.015226	3	511
Fuchsjagd/NN	6.0704184	1	170
Fundloch/NN	10.5283375	2	4
Fußball/NN	1.1679997	1	22015
Fähigkeit/NN	-0.07361226	1	69895
Gang/NN	1.6640109	3	39417
Garnisonkirche/NN	5.935551	1	176
Garten/NN	0.41984186	1	44514
Gatte/NN	3.089682	1	3052
Geburth/NN	10.320698	1	2
Gebäude/NN	-0.046730105	1	69378
Gedanke/NN	-0.4268135	1	103148
Gefahr/NN	0.22791955	2	106122
Gefecht/NN	5.753896	22	4771
Gefühl/NN	0.7177679	3	96711
Gefühlsdrama/NN	9.222086	1	7
Gefühlswelt/NN	4.39778	1	823
Gegensatz/NN	0.13646312	1	61399
Gegenseite/NN	3.1329463	1	2962
Gegenstand/NN	2.5154839	13	70081
Gegenstück/NN	3.276774	1	2527
Gegenteil/NN	0.6777515	1	44738
Gegenzug/NN	2.3445532	1	7028
Gegner/NN	1.7163526	4	48264
Geist/NN	0.7006541	3	99842
Geld/NN	8.686567	1	11
Gelegenheit/NN	0.18084945	1	53661
Gelächter/NN	3.3512008	1	2549
Gemeinderat/NN	3.2664533	5	12921
Gemeinderatssitzung/NN	4.6018214	1	677
Gemenge/NN	5.497899	1	273
Gemüt/NN	4.8704643	13	6789
Gemütsregung/NN	7.2881517	1	46
Genozids/NN	5.0127397	1	439
Genua/NE	2.9317904	1	3608
Georg/NE	0.84432685	1	30955
Gerechtigkeit/NN	0.5733489	1	38219
Gerücht/NN	1.8197229	1	11248
Geschehen/NN	1.2026578	1	20204
Geschenk/NN	1.1062161	1	22652
Geschichte/NN	-0.066103324	4	291606
Geschlechterfrage/NN	5.3648705	1	316
Geschlechterkampf/NN	5.5944166	1	266
Geschäft/NN	0.18244451	1	56119
Geschäftsleute/NN	3.0288713	1	3230
Gesellschaft/NN	-0.18773279	3	241218
Gesetz/NN	-0.03485479	3	207522
Gesetzesentwurf/NN	3.218816	1	2681
Gesetzgebungsprozeß/NN	5.346986	1	329
Gesicht/NN	1.4646178	4	64069
Gespräch/NN	2.3484259	17	111000
Gesprächsgäste/NN	9.4044075	1	8
Gesprächspartner/NN	2.2594674	1	7173
Gesprächsstoff/NN	4.7091675	1	661
Gesundheit/NN	0.109681904	1	60548
Gesundheitswesen/NN	1.441208	1	15892
Getränk/NN	2.3016198	3	21235
Gewalt/NN	0.34897205	2	95072
Gewaltdarstellung/NN	4.3206763	1	896
Gewehrfeuer/NN	6.2421017	1	135
Gewerkschaft/NN	0.9312781	2	52850
Gewerkschaftsführer/NN	4.5004296	1	753
Gewürz/NN	2.649162	1	4892
Giacomel/NN	8.816621	1	11
Gilligan/NE	5.3817377	1	331
Gipfelgespräch/NN	6.8452435	1	70
Gitarrenrhythmus/NN	9.142043	1	7
Gladiator/NN	4.6644874	1	642
Glaubensfrage/NN	4.4268117	1	832
Glaubensgespräch/NN	6.7529273	1	84
Globalisierungsdebatte/NN	5.9528337	1	175
Goethe/NE	1.1920353	1	21627
Goldgrab/NN	5.6356773	1	247
Goldgräbers/NN	9.264646	1	6
Goldschatz/NN	5.2861834	1	340
Gontard/NE	6.5422063	1	101
Gott/NN	-0.9704476	2	369291
Gottesdienstbesuch/NN	5.8921156	1	193
Grabenkrieg/NN	6.581541	1	93
Grad/NN	2.0785968	6	50125
Grandier/NE	9.915233	1	3
Green/NE	2.5200996	1	5596
Grenze/NN	0.17713954	2	112519
Grenzpolizist/NN	5.9990516	1	169
Großbauer/NN	5.772098	1	208
Großbritannien/NE	0.7874138	1	31251
Großteil/NN	1.1893127	1	20421
Grund/NN	-0.8693764	2	332854
Gruner/NN	3.9907541	1	1257
Guinand/NE	8.982412	1	9
Gulfhaus/NE	9.482368	1	7
Gunfights/NN	9.627551	1	4
Haar/NN	0.6808015	1	34585
Hakims/NN	8.458557	1	15
Halb-Franzose/NN	11.013845	2	2
Halbfinal-Duells/NN	11.013845	1	1
