cw	pmi_4	raw_4	freq
-Markt/NN	4.90637	1	24
-Motorsportdirektor/NN	6.84631	1	3
-Redaktion/NN	3.413668	1	102
-Schaufenstern/NN	7.9449224	1	1
-Universum/NN	5.236872	1	17
-Verfilmung/NN	4.8768697	1	23
-Zäune/NN	7.9449224	1	1
-dass/NN	4.8425803	1	26
-männern/NN	4.77734	1	26
-schlösser/NN	7.9449224	1	1
-tropisch/ADJ	7.9449224	1	1
-und/ADJ	1.1019723	1	995
-und/NN	1.4287293	1	721
-zum/NN	3.933054	1	59
-»Ich/ADJ	7.079925	1	4
..)./ADJ	-0.49970007	1	4918
..)./NE	-0.9160555	1	7529
...&ldquo/NN	3.9467218	1	97
..........Daß/ADJ	8.078454	1	1
........und/NE	6.440845	1	6
......aber/NN	5.5357275	1	14
...../ADJ	1.4664128	1	723
...../NE	1.6688665	2	1211
..../ADJ	0.8483045	2	2671
..../NE	0.6921305	3	4818
.../$(	0.16384299	250	679719
...EM-Qualifikation/NN	8.414927	1	1
...du/NE	3.5628958	1	122
...eine/ADJ	2.9177577	1	198
...ist/NN	1.9631926	1	504
...mehr/ADJ	0.90526205	3	4680
...mehr/VVF	2.4087372	3	859
...mit/NE	3.6647902	1	95
...muss/NN	4.354483	1	44
...sind/ADJ	4.4791865	1	46
...so/ADJ	3.5290985	1	119
...und/NE	1.1628721	1	1227
...und/NN	1.0845864	2	2522
...uns/NN	5.761684	1	11
...weil/VVF	3.29454	1	125
...wenn/VVI	2.6188684	1	299
.../ADJ	1.4228296	1	788
../NE	-0.07993812	51	309421
..und/NN	2.8202147	1	222
./$.	0.37362275	9428	37685318
.was/NE	6.153163	1	7
/./VVF	7.9449224	1	1
//$(	0.19493954	153	412156
/color][/size][/font][font=Arial,Helvetica,adobe-helvetica,Arial/NN	4.219229	1	45
0,4/CAR	-0.011335358	1	3038
0,5/CAR	-0.30226487	2	8238
03...und/NN	7.9449224	2	2
04er/NN	3.8137639	1	73
1,5/CAR	0.15797766	7	18383
1,6er/NN	6.1742163	1	7
1-/TRU	1.2495872	1	942
1-Duell/NN	7.9449224	4	4
1./ADJ	-1.429711	17	239935
1./ADV	-1.2728453	5	72773
1/2/CAR	1.3302871	13	10545
1/2l/NN	5.279432	1	16
1/3/CAR	0.7704853	2	2873
1/4/CAR	2.8266613	14	2564
1/8/CAR	3.4355903	9	883
1/CAR	-0.8410697	113	831824
10-/TRU	1.6789086	1	566
10-l-Eimer/NN	6.84631	1	3
10.8)./NE	6.6231666	1	4
10/CAR	-0.43123776	54	297819
100/CAR	0.45526996	59	118097
1000/CAR	0.4079228	13	27041
10000/CAR	0.9787803	2	2367
1000°/ADJ	6.5690994	3	12
1000°C/NE	6.247779	3	20
100g/ADJ	1.8169621	1	528
100°C/NE	4.8468027	4	102
102/CAR	-0.78574777	1	7695
10D/ADJ	5.667655	1	11
10cm/NN	2.8807464	1	178
10km/NE	3.268595	1	129
10km/NN	2.4416256	1	269
11.000°K/NN	7.9449224	1	1
11/2/CAR	3.0706797	1	148
11/CAR	-1.9568585	6	173178
110/CAR	-1.329214	1	12617
110Grad/NN	7.9449224	1	1
12/CAR	-1.049272	17	186423
120/CAR	0.47716832	11	22039
1200/CAR	1.3916252	7	5541
1200m/NN	4.1895533	1	51
125/CAR	0.3222279	4	9710
125°C/NE	7.2210035	2	5
1215/ADJ	5.8972297	1	8
13,1/CAR	1.7576855	1	555
13/CAR	-1.8627698	6	151491
130/CAR	-0.70659405	2	13176
1300°/NN	7.721779	4	5
130°C/NE	5.9813128	2	16
13th/NE	3.5978756	1	89
14./ADJ	-0.049878508	1	3507
14/CAR	-1.4449314	10	161878
14a/NN	1.6487343	1	591
15/CAR	-0.5105078	35	214077
150/CAR	0.40110633	15	31871
1500/CAR	0.8479251	6	8116
150g/ADJ	3.0023875	1	151
15°/ADJ	3.5404923	2	180
16/CAR	-2.0481625	5	148526
160-200°C/NN	7.2517753	1	2
160/CAR	0.76857233	8	12062
160°/ADJ	4.9004	1	25
160°C/NN	4.3356953	2	88
17/CAR	-2.4087713	3	132723
1700/CAR	0.2160666	1	2617
170ø/ADJ	6.440845	1	5
175g/ADJ	5.834709	1	9
175°C/NE	3.7571635	1	83
18-/TRU	1.6727532	1	569
18/CAR	-2.3009028	4	153758
180/CAR	1.1186484	13	13516
180/NN	7.9449224	1	1
180°/ADJ	2.4829462	2	536
180°C/NE	3.8213224	4	289
1890/CAR	0.0019384898	1	3435
1895/CAR	0.25372234	1	2672
1897/CAR	0.20230341	1	2840
1897â1966/ADJ	7.9449224	1	1
19-Jähriger/ADJ	3.6408572	1	84
19-jährig/ADJ	0.54590666	1	1842
19-seitiges/ADJ	6.6231666	1	4
19.30/CAR	-0.7205399	1	6726
19/CAR	-2.3905993	3	135214
1901/CAR	0.75650966	2	3313
1902/CAR	0.11882851	1	3072
190°C/NN	4.6490855	1	33
191T/VVF	7.2517753	1	2
1928/CAR	-0.5234481	1	5842
1929/CAR	-0.72812	1	7159
1939/CAR	-1.1432503	1	10649
1942/CAR	-0.8443949	1	8047
1943/CAR	-0.892414	1	8402
1945/CAR	-0.9600131	4	34755
1947/48/CAR	2.9169385	1	174
1947/CAR	0.523184	4	8184
1948/CAR	-1.2348428	1	11731
1950er-Jahre/NN	3.2791276	1	114
1963/CAR	0.27789578	4	10534
1968/CAR	-0.012036038	5	17159
1970/CAR	-0.97876865	2	18116
1972/CAR	-1.2248498	2	22916
