_model	model.x	model.y	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
heiss.nobound3-3lex.PPMIselection.LENGTHFOC.SOCPOSlex	1.158888216706487	0.1891220718442327	FALSE	BOW	601	selection	lex	3-3	FOC	lex	470	6	heiss.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSlex
heiss.nobound3-3lex.PPMIweight.LENGTH1000.SOCPOSlex	1.5305982369337392	-0.004626494491766	FALSE	BOW	601	weight	lex	3-3	1000	lex	470	5	heiss.nobound3-3lex.PPMIselection.LENGTH1000.SOCPOSlex
heiss.nobound3-3lex.PPMIweight.LENGTH5000.SOCPOSlex	1.3181774840921208	0.11044218236689764	FALSE	BOW	601	weight	lex	3-3	5000	lex	470	6	heiss.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSlex
heiss.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSlex	1.4224166570226595	0.2479523777069136	FALSE	BOW	601	weight	lex	3-3	FOC	lex	470	6	heiss.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSlex
heiss.nobound5-5all.PPMIno.LENGTH1000.SOCPOSlex	-2.0673279627288164	1.897016778496752	FALSE	BOW	1715	no	all	5-5	1000	lex	493	7	heiss.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound5-5all.PPMIno.LENGTH5000.SOCPOSlex	-1.603687171040154	1.444690053950268	FALSE	BOW	1715	no	all	5-5	5000	lex	493	7	heiss.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound5-5all.PPMIno.LENGTHFOC.SOCPOSlex	-0.8494532528198492	0.9105062070783092	FALSE	BOW	1715	no	all	5-5	FOC	lex	493	7	heiss.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound5-5all.PPMIselection.LENGTH1000.SOCPOSlex	-1.0797256729262803	1.674975869274132	FALSE	BOW	1052	selection	all	5-5	1000	lex	493	7	heiss.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex	-0.7594104969423792	1.2494150109330189	FALSE	BOW	1052	selection	all	5-5	5000	lex	493	7	heiss.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound5-5all.PPMIselection.LENGTHFOC.SOCPOSlex	-0.3618579679366443	0.9307870010978248	FALSE	BOW	1052	selection	all	5-5	FOC	lex	493	7	heiss.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound5-5all.PPMIweight.LENGTH1000.SOCPOSlex	0.33298400852127197	0.2263216342276607	FALSE	BOW	1052	weight	all	5-5	1000	lex	493	2	heiss.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex
heiss.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSlex	0.5103967598147197	0.07686225068484584	FALSE	BOW	1052	weight	all	5-5	5000	lex	493	2	heiss.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex
